NAME,PACKAGE
Bitstream Vera Sans Mono,BitstreamVeraSansMono
Code New Roman,CodeNewRoman
Comic Shanns Mono,ComicShannsMono
Droid Sans Mono,DroidSansMono
Fira Code,FiraCode
Fira Mono,FiraMono
Go Mono,Go-Mono
Hack,Hack
Hasklig,Hasklig
Hermit,Hermit
Inconsolata,Inconsolata
Iosevka,Iosevka
Iosevka Term,IosevkaTerm
JetBrains Mono,JetBrainsMono
Meslo,Meslo
Mononoki,Mononoki
Noto Mono,Noto
Overpass Mono,Overpass
Proggy Clean,ProggyClean
Roboto Mono,RobotoMono
Source Code Pro,SourceCodePro
Space Mono,SpaceMono
Terminus,Terminus
Ubuntu,Ubuntu
Ubuntu Mono,UbuntuMono
