NAME,PACKAGE,PERSONAL DESKTOP,PERSONAL LAPTOP,WORK LAPTOP,SERVER,DISABLED
7zip,_7zz,y,y,y,y,
act,act,y,y,y,y,
age,age,y,y,y,y,
Alacritty,alacritty,y,y,y,,OpenGL issue when not on NixOS (i think)
Alejanda,alejandra,y,y,y,y,
Awk,gawk,y,y,y,y,
AWS CLI v2,awscli2,y,y,y,y,
bandwhich,bandwhich,y,y,y,y,
bash-completion,bash-completion,y,y,y,y,might not be useful
bat,bat,y,y,y,y,
bc,bc,y,y,y,y,
bind,dig,y,y,y,y,
bmon,bmon,y,y,y,y,
bottom,bottom,y,y,y,y,
Broot,broot,y,y,y,y,
btop,btop,y,y,y,y,
btrbk,btrbk,y,y,y,y,
Btrfs Heatmap,btrfs-heatmap,y,y,y,y,
bzip2,bzip2,y,y,y,y,
BZip3,bzip3,y,y,y,y,
cabextract,cabextract,y,y,y,,
cheat,cheat,y,y,y,y,
checkbashisms,checkbashisms,y,y,y,y,
chezmoi,chezmoi,y,y,y,y,
choose,choose,y,y,y,y,
ClamAV,clamav,y,y,y,,Using distro version for systemd service
Clipboard,clipboard-jh,y,y,y,,
Cmake,cmake,y,y,y,,
colordiff,colordiff,y,y,y,y,
compsize,compsize,y,y,y,y,
cpufetch,cpufetch,y,y,y,y,
ctop,ctop,y,y,y,y,
cURL,curl,y,y,y,y,
Curlie,curlie,y,y,y,y,
DASH,dash,y,y,y,y,
ddh,ddh,y,y,y,y,
delta,delta,y,y,y,y,
diff-so-fancy,diff-so-fancy,y,y,y,y,
difftastic,difftastic,y,y,y,y,
Diffutils,diffutils,y,y,y,y,
Distrobox,distrobox,y,y,y,y,
dive,dive,y,y,y,y,
dog,dogdns,y,y,y,y,
doggo,doggo,y,y,y,y,
dos2unix,dos2unix,y,y,y,y,
dotenv-linter,dotenv-linter,y,y,y,y,
dsq,dsq,y,y,y,y,
dua,dua,y,y,y,y,
duf,duf,y,y,y,y,
dust,du-dust,y,y,y,y,
dysk,dysk,y,y,y,y,
Editorconfig-Checker,editorconfig-checker,y,y,y,y,
eza,eza,y,y,y,y,
Fail2ban,fail2ban,y,y,y,y,
fastfetch,fastfetch,y,y,y,y,
fclones,fclones,y,y,y,y,
fclones-gui,fclones-gui,y,y,y,,
fcp,fcp,y,y,y,y,
fd,fd,y,y,y,y,
fend,fend,y,y,y,,
fff,fff,y,y,y,y,
file,file,y,y,y,y,
findutils,findutils,y,y,y,y,
fish shell,fish,y,y,y,y,
flac2all,flac2all,y,,,,
FLAC,flac,y,,,,
Flatpak,flatpak,y,y,y,,using flatpak from distro repos for now
fselect,fselect,y,y,y,y,
fx,fx,y,y,y,y,
fzf,fzf,y,y,y,y,
gdu,gdu,y,y,y,y,
Ghostscript,ghostscript,y,y,y,,
Git,git,y,y,y,y,
GitHub CLI,gh,y,y,y,y,
gitui,gitui,y,y,y,y,
Glances,glances,y,y,y,y,
glow,glow,y,y,y,y,
GNOME Partition Editor,gparted,y,y,y,,display issue
gnome-extensions-cli,gnome-extensions-cli,,,y,,current build broken
GnuPG,gnupg,y,y,y,y,
gping,gping,y,y,y,y,
Grep,gnugrep,y,y,y,y,
grex,grex,y,y,y,y,
gron,gron,y,y,y,y,
Gzip,gzip,y,y,y,y,
hck,hck,y,y,y,y,
hex,hex,y,y,y,y,
highlight,highlight,y,y,y,y,
hstr,hstr,y,y,y,y,
HTTPie,httpie,y,y,y,y,
hyperfine,hyperfine,y,y,y,y,
iftop,iftop,y,y,y,y,
ImageMagick,imagemagick,y,y,y,,
iputils,iputils,y,y,y,y,
jless,jless,y,y,y,y,
Joplin,joplin-desktop,y,y,y,,Trying official AppImage
jq,jq,y,y,y,y,
jqp,jqp,y,y,y,y,
just,just,y,y,y,y,
Kate,libsForQt5.kate,y,y,y,,
kitty,kitty,y,y,y,,OpenGL issue when not on NixOS (i think)
Krusader,krusader,y,y,y,,coredump
LAME,lame,y,,,,
lastpass-cli,lastpass-cli,y,y,y,y,
lazycli,lazycli,y,y,y,y,
lazydocker,lazydocker,y,y,y,y,
lazygit,lazygit,y,y,y,y,
Less,less,y,y,y,y,
lf,lf,y,y,y,y,
Linode CLI,linode-cli,y,y,y,y,
lite-xl,lite-xl,y,y,y,,
lsof,lsof,y,y,y,y,
lxc,lxc,y,y,y,y,using distro package
lxdfs,lxcfs,y,y,y,y,
lxd,lxd,y,y,y,y,using distro package
mbuffer,mbuffer,y,y,y,y,
mdcat,mdcat,y,y,y,y,
Meld,meld,y,y,y,,
Micro,micro,y,y,y,y,
miller,miller,y,y,y,y,
Moar,moar,y,y,y,y,
Mosh,mosh,,y,y,,
mp3splt,mp3splt,y,,,,
mtr,mtr,y,y,y,y,
nano,nano,y,y,y,y,
navi,navi,y,y,y,y,
NCurses Disk Usage,ncdu,y,y,y,y,
NerdFonts,nerdfonts,y,y,y,,Temporary disable
nixpkgs-fmt,nixpkgs-fmt,y,y,y,y,
Nmap,nmap,y,y,y,y,
nnn,nnn,y,y,y,y,
nvd,nvd,y,y,y,y,
nvtop,nvtop,y,y,y,,
onefetch,onefetch,y,y,y,y,
oneshot,oneshot,y,y,y,y,
OpenSSL,openssl,y,y,y,y,
ouch,ouch,y,y,y,y,
p7zi,p7zip,y,y,y,y,
pandoc,pandoc,y,y,y,y,
Parallel,parallel,y,y,y,y,
parquet-tools,parquet-tools,y,y,y,y,
Perl,perl,y,y,y,y,
pigz,pigz,y,y,y,y,
Pipe Viewer,pv,y,y,y,y,
pipr,pipr,y,y,y,y,
Podman Compose,podman-compose,y,y,y,y,Using docker for now
Podman,podman,y,y,y,y,Using distro version for /etc files
Podman Terminal UI,podman-tui,y,y,y,y,Using docker for now
procs,procs,y,y,y,y,
QDirStat,qdirstat,y,y,y,,
Quickemu,quickemu,y,y,y,,
ranger,ranger,y,y,y,y,
riff,riff,y,y,y,y,
ripgrep,ripgrep,y,y,y,y,
ripgrep-all,ripgrep-all,y,y,y,y,current build broken
RnR,rnr,y,y,y,y,
rsync,rsync,y,y,y,y,
runiq,runiq,y,y,y,y,
scalafmt,scalafmt,y,y,y,y,
Screen,screen,y,y,y,y,
sd,sd,y,y,y,,
sed,gnused,y,y,y,y,
selectdefaultapplication,selectdefaultapplication,y,y,y,,
ShellCheck,shellcheck,y,y,y,y,
Shellharden,shellharden,y,y,y,y,
sh,shfmt,y,y,y,y,
simplescreenrecorder,simplescreenrecorder,y,y,y,,
skim,skim,y,y,y,y,
Slim,docker-slim,y,y,y,y,
sops,sops,y,y,y,y,
Sound eXchange,sox,y,,,,
speedtest-cli,speedtest-cli,y,y,y,y,
sshs,sshs,y,y,y,y,
Starship,starship,y,y,y,y,
systeroid,systeroid,y,y,y,y,
Tar,gnutar,y,y,y,y,
tcpdump,tcpdump,y,y,y,y,
tealdeer,tealdeer,y,y,y,y,
tgpt,tgpt,y,y,y,y,
The Silver Searcher,silver-searcher,y,y,y,y,
tig,tig,y,y,y,y,
tmux,tmux,y,y,y,y,
tokei,tokei,y,y,y,y,
topgrade,topgrade,y,y,y,y,
trash-cli,trash-cli,y,y,y,y,
Tree,tree,y,y,y,y,
ugrep,ugrep,y,y,y,y,
unrar,unrar,y,y,y,y,
UnZip,unzip,y,y,y,y,
Ventoy,ventoy-full,y,y,y,,
Virtual Machine Manager,virt-manager,y,y,y,,
Wget,wget,y,y,y,y,
which,which,y,y,y,y,
xh,xh,y,y,y,y,
xsv,xsv,y,y,y,y,
XZ Utils,xz,y,y,y,y,
yq,yq-go,y,y,y,y,
Zellij,zellij,y,y,y,y,
Zip,zip,y,y,y,y,
zoxide,zoxide,y,y,y,y,
Zstandard,zstd,y,y,y,y,
