PACKAGE,PERSONAL DESKTOP,PERSONAL LAPTOP,WORK LAPTOP,SERVER,DISABLED
age,y,y,y,y,
alacritty,y,y,y,,
binutils,y,y,y,y,
bridge-utils,y,y,y,y,
ca-certificates,y,y,y,y,
clamav,y,y,y,y,
coreutils,y,y,y,y,
curl,y,y,y,y,
fail2ban,y,y,y,y,
fzf,y,y,y,y,
git,y,y,y,y,
gnupg-agent,y,y,y,y,
gnupg2,y,y,y,y,
gparted,y,y,y,,
grep,y,y,y,y,
jq,y,y,y,y,
kitty,y,y,y,,
libfuse2,y,y,y,y,
libvirt-daemon,y,y,y,y,
libvirt-daemon-system,y,y,y,y,
libvirt-clients,y,y,y,y,
micro,y,y,y,y,
nala,y,y,y,y,
nano,y,y,y,y,
openssh-client,y,y,y,y,
openssh-server,y,y,y,y,
ovmf,y,y,y,y,
qemu-utils,y,y,y,y,
qemu-system-x86,y,y,y,y,
qemu-system-gui,y,y,y,y,
ruby,y,y,y,y,
sed,y,y,y,y,
screen,y,y,y,y,
software-properties-common,y,y,y,y,
sudo,y,y,y,y,
tar,y,y,y,y,
ufw,y,y,y,y,
unzip,y,y,y,y,
virtinst,y,y,y,y,
wget,y,y,y,y,
zip,y,y,y,y,
zsync,y,y,y,y,
